# index, name, full_name, locality, group, is_host, _pos
4086,Lagenorhynchus cruciger,"Hadwenius subtilis (Skrjabin, 1959)",Southwest Atlantic,Trematoda,1,"array([37.70877725, 42.90544699])"
4087,Mesoplodon europaeus,"Phyllobothrium delphini (Bosc, 1802)",NW African coast,Cestoda,1,"array([31.22905935, 50.49671456])"
4088,Phyllobothrium dohrnii,,,Chondrichthyes,0,"array([36.50416257, 90.89523756])"
4089,Phyllobothrium georgiense,,,NA,0,"array([ -27.78077497, -537.65483972])"
4090,Phyllobothrium grimaldii,,,Mammalia,0,"array([33.69245942, 45.10037739])"
4091,Dalatias licha,"Otodistomum veliporum (Creplin, 1857)",Western coast of British Isles,Trematoda,1,"array([33.71917334, 62.66646598])"
4092,Phyllobothrium hyperapolytica,,,Chondrichthyes,0,"array([31.64658357, 72.06657424])"
4093,Phyllobothrium lactuca,,,NA,0,"array([28.74460503, 91.01510315])"
4094,Phyllobothrium loliginus,,,Teleostei,0,"array([30.26009741, 34.53692503])"
4095,Phyllobothrium sinuosiceps,,,Chondrichthyes,0,"array([31.74749323, 64.74664443])"
4096,Phyllobothrium squali,,,Chondrichthyes,0,"array([34.31558708, 54.85751407])"
4097,Phyllobothrium thridax,,,Chondrichthyes,0,"array([33.08510617, 51.52056933])"
4098,Pintneriella gymnorhynchoides,,,Chondrichthyes,0,"array([45.38337338, 68.72174783])"
4099,Eurypharynx pelecanoides,"Pistana eurypharyngis Campbell & Gartner, 1989",Atlantic Ocean,Cestoda,1,"array([269.9246937 , 484.11574456])"
4100,Pistana eurypharyngis,,,Teleostei,0,"array([271.73882026, 482.55180443])"
4101,Platybothrium auriculatum,,,Chondrichthyes,0,"array([46.400785  , 64.46920214])"
4102,Platybothrium cervinum,,,Chondrichthyes,0,"array([58.10235948, 74.13471323])"
4103,Platybothrium coshtaprum,,,Chondrichthyes,0,"array([56.10798913, 78.6119233 ])"
4104,Platybothrium harpago,,,Chondrichthyes,0,"array([57.60452555, 95.81573252])"
4105,Platybothrium hypoprioni,,,Chondrichthyes,0,"array([56.43575679, 93.56781592])"
4106,Platybothrium kirstenae,,,Chondrichthyes,0,"array([49.5216554 , 84.81691186])"
4107,Platybothrium parvum,,,Chondrichthyes,0,"array([48.13688379, 75.92966612])"
4108,Platybothrium tantulum,,,Chondrichthyes,0,"array([53.14942492, 88.02720024])"
4109,Platyscolex ciliata,,,Aves,0,"array([  3.64915867, -10.67793397])"
4110,Plerocercoides lonchophorus,,,Teleostei,0,"array([54.30957236, 67.69076869])"
4111,Plicobothrium globicephalae,,,Mammalia,0,"array([31.32728005, 41.66178268])"
4112,Lagenorhynchus albirostris,"Pholeter gastrophilus (Kossack, 1910)",Western coast of British Isles,Trematoda,1,"array([37.3681581 , 33.03182948])"
4113,Poecilancistrum caryophyllum,,,Teleostei,0,"array([58.28353676, 70.93922061])"
4114,Pseudotolithus senegalensis,"Stephanostomum africanum Fischthal & Williams, 1971",NW African coast,Trematoda,1,"array([57.96114035, 83.48233122])"
4115,Xenodermichthys copei,"Steringophorus blackeri Bray, 1973",Western coast of British Isles,Trematoda,1,"array([-454.55487771,   47.5078904 ])"
4116,Probothriocephalus alaini,,,Teleostei,0,"array([-452.08274118,   46.0371052 ])"
4117,Symbolophorus boops,"Probothriocephalus atlanticus (Protasova & Parukhin, 1986)",Atlantic Ocean,Cestoda,1,"array([ 463.88480917, -215.55348218])"
4118,Probothriocephalus atlanticus,,,Teleostei,0,"array([ 461.43283837, -216.96141831])"
4119,Probothriocephalus muelleri,,,NA,0,"array([15.71184446, 63.74749715])"
4120,Prochristianella tumidula,,,Chondrichthyes,0,"array([29.32986275, 84.91495802])"
4121,Progrillotia dollfusi,,,Chondrichthyes,0,"array([39.3458119 , 91.98224916])"
4122,Cynoscion striatus,"Opecoeloides feliciae Martorelli, 1992",Southwest Atlantic,Trematoda,1,"array([ 34.46314841, 102.74776349])"
4123,Prosobothrium armigerum,,,Chondrichthyes,0,"array([52.9531386 , 75.39317309])"
4124,Proteocephalus ambiguus,,,Teleostei,0,"array([26.89956256,  6.56831818])"
4125,Proteocephalus cernuae,,,Teleostei,0,"array([33.64747656,  5.01008338])"
4126,Proteocephalus gobiorum,,,Teleostei,0,"array([36.75807032, 16.9221316 ])"
4127,Proteocephalus longicollis,,,Teleostei,0,"array([34.09819209, 10.24412566])"
4128,Proteocephalus percae,,,Teleostei,0,"array([31.62650091,  9.07816107])"
4129,Proteocephalus skorikowi,,,Chondrostei,0,"array([48.08335689,  4.45102904])"
4130,Proteocephalus subtilis,,,Teleostei,0,"array([15.87757745, 41.60249523])"
4131,Proteocephalus tetrastomus,,,Teleostei,0,"array([38.71237228, 16.51321448])"
4132,Proteocephalus torulosus,,,Teleostei,0,"array([34.14709218,  0.32348732])"
4133,Pseudanthobothrium hanseni,,,Chondrichthyes,0,"array([19.42288419, 66.39827871])"
4134,Pseudanthobothrium notogeorgianum,,,NA,0,"array([ -25.63026502, -533.44636231])"
4135,Pseudobothrium grimaldii,,,Teleostei,0,"array([36.79245686, 79.46161236])"
4136,Pseudogrillotia perelica,,,Teleostei,0,"array([56.74548705, 63.28625358])"
4137,Pogonias cromis,"Goezia kliksi Deardorff & Overstreet, 1980",United States,Nematoda,1,"array([ 490.45944843, -117.26771661])"
4138,Pseudogrillotia pleistacantha,,,Teleostei,0,"array([ 492.16175939, -114.7785916 ])"
4139,Pseudogrillotia zerbiae,,,NA,0,"array([62.51196584, 60.82331612])"
4140,Pseudolacistorhynchus noodti,,,Teleostei,0,"array([60.89017974, 59.84426566])"
4141,Pseudotobothrium dipsacum,,,Teleostei,0,"array([79.08651453, 68.29641088])"
4142,Pterobothrioides petterae,,,Chondrichthyes,0,"array([-431.85385468,  312.42885986])"
4143,Pterobothrium crassicolle,,,Teleostei,0,"array([25.16696399, 56.45617414])"
4144,Brachyplatystoma flavicans,"Pterobothrium crassicolle Diesing, 1850",Southwest Atlantic,Cestoda,1,"array([13.53817008, 47.67860486])"
4145,Brachyplatystoma vaillantii,"Harriscolex kaparari (Woodland, 1935)",Venezuela,Cestoda,1,"array([ 8.43439682, 58.25288417])"
4146,Chondrichthyes,"Bucephalus confusus Velasques, 1959",Atlantic Ocean,Trematoda,1,"array([38.17398486, 97.63468663])"
4147,Pterobothrium fragile,,,NA,0,"array([ 34.18960382, 106.37983806])"
4148,Alosa mediocris,"Pterobothrium heteracanthum Diesing, 1850",Atlantic Ocean,Cestoda,1,"array([65.64917379, 65.46377819])"
4149,Pterobothrium heteracanthum,,,Teleostei,0,"array([59.8600135 , 49.90412333])"
4150,Pterobothrium interruptum,,,Teleostei,0,"array([65.94382274, 59.85459614])"
4151,Pterobothrium kingstoni,,,Teleostei,0,"array([56.37686977, 84.41455555])"
4152,Pterobothrium lintoni,,,Teleostei,0,"array([46.66526862, 74.09827005])"
4153,Cynoscion virescens,"Pterobothrium pearsoni (Southwell, 1929)",Caribbean Sea,Cestoda,1,"array([89.5703776 , 52.63663388])"
4154,Pterobothrium senegalense,,,Chondrichthyes,0,"array([ 47.84190405, 100.01381081])"
4155,Taeniura grabata,"Pterobothrium senegalense Campbell & Beveridge, 1996",NW African coast,Cestoda,1,"array([ 46.75468013, 107.90924845])"
4156,Xyrichtys novacula,"Ascaris novaculae Rudolphi, 1819",Atlantic Ocean,Nematoda,1,"array([ 44.74048952, 117.40924044])"
4157,Mobula hypostoma,Rhabdotobothrium anterophallum,Gulf of Mexico,Cestoda,1,"array([430.81243368, 109.30927049])"
4158,Rhabdotobothrium anterophallum,,,Chondrichthyes,0,"array([428.46739011, 109.05857754])"
4159,Rhinebothrium chilensis,,,NA,0,"array([12.12855384, 57.76243512])"
4160,Rhinebothrium corymbum,,,Chondrichthyes,0,"array([ 45.39653724, 101.58857158])"
4161,Rhinebothrium flexile,,,Teleostei,0,"array([59.28634162, 53.64938824])"
4162,Rhinebothrium maccallumi,,,Chondrichthyes,0,"array([ 46.85166829, 102.13814893])"
4163,Rhinebothrium palombi,,,Teleostei,0,"array([58.34231114, 33.8618542 ])"
4164,Rhopalothylax gymnorhynchoides,,,Chondrichthyes,0,"array([46.6951432 , 70.15401277])"
4165,Rhynchobothrium adenoplusius,,,Teleostei,0,"array([48.50076837, 45.78272073])"
4166,Rhynchobothrium ambiguum,,,Teleostei,0,"array([49.82896644, 71.94592277])"
4167,Rhynchobothrium brevicolle,,,NA,0,"array([ 22.30573666, 102.62853368])"
4168,Scalithrium magniphallum,,,Chondrichthyes,0,"array([  67.44249731, -567.6788907 ])"
4169,Dasyatis marmorata,"Nagmioides trygonis Dollfus, 1971",Northeast Atlantic,Trematoda,1,"array([44.15778042, 98.66381429])"
4170,Scalithrium minimum,,,NA,0,"array([47.35361209, 91.01244774])"
4171,Scalithrium palombii,,,Chondrichthyes,0,"array([33.51711788, 83.77855683])"
4172,Scalithrium rankini,,,NA,0,"array([ 49.77836193, 100.22858721])"
4173,Schistocephalus pungitii,,,Teleostei,0,"array([28.36980722,  8.79751356])"
4174,Boops salpa,"Wardula capitellata (Rudolphi, 1819)",Western Mediterranean,Trematoda,1,"array([61.5048108 , 35.71381043])"
4175,Ceratoscopelus maderensis,"Scolex pleuronectis Muller, 1788",Northeast Atlantic,Cestoda,1,"array([48.72789634, 40.42386579])"
4176,Cottunculus sadko,"Scolex pleuronectis Muller, 1788",Norwegian Sea,Cestoda,1,"array([51.80660091, 37.59058045])"
4177,Cubiceps coeruleus,"Syncoelium filiferum (Sars, l885)",Atlantic Ocean,Trematoda,1,"array([57.9357183, 43.0968327])"
4178,Engraulis encrasicolus,"Parahemiurus merus (Linton, 1910)",Southeast Atlantic,Trematoda,1,"array([45.45100502, 26.39008872])"
4179,Epigonus telescopus,"Prodistomum priedei Bray & Merrett, 1998",Western coast of British Isles,Trematoda,1,"array([47.87180425, 35.31403733])"
4180,Hyporhamphus unifasciatus,"Scolex pleuronectis Muller, 1788",Southwest Atlantic,Cestoda,1,"array([45.47378675, 43.39925994])"
4181,Illex illecebrosus,"Scolex pleuronectis Muller, 1788",Northeast Atlantic,Cestoda,1,"array([49.81272658, 40.80913898])"
4182,Lycodes esmarkii,"Steringophorus furciger (Olsson, 1867)",Western coast of British Isles,Trematoda,1,"array([34.8994571, 37.32836  ])"
4183,Lycodes frigidus,"Anisakis simplex (Rudolphi, 1809)",Norwegian Sea,Nematoda,1,"array([46.60956109, 34.71149701])"
4184,Lycodes pallidus,"Scolex pleuronectis Muller, 1788",Norwegian Sea,Cestoda,1,"array([50.06825065, 38.77173125])"
4185,Lycodes seminudus,"Neophasis oculatus (Levinsen, 1881)",Norwegian Sea,Trematoda,1,"array([36.8965748 , 37.64828545])"
4186,Melanostomias bartonbeani,"Scolex pleuronectis Muller, 1788",Northeast Atlantic,Cestoda,1,"array([44.79201862, 42.54982327])"
4187,Merluccius vulgaris,"Terranova decipiens (Krabbe, 1878)",Northeast Atlantic,Nematoda,1,"array([35.12013746, 41.82751499])"
4188,Molva dipterygia,"Prosorhynchoides gracilescens (Rudolphi, 1819)",Norwegian Sea,Trematoda,1,"array([36.82323453, 31.52426475])"
4189,Moroteuthis ingens,"Scolex pleuronectis Muller, 1788",Southeast Atlantic,Cestoda,1,"array([53.17761396, 35.74422869])"
4190,Gaidropsarus argentatus,"Lepidapedon mariannae Bray & Gibson, 1995",Norwegian Sea,Trematoda,1,"array([38.3783354 , 37.52196646])"
4191,Ophidion rochei,"Philometra globiceps (Rudolphi, 1819)",Black Sea,Nematoda,1,"array([52.71975596, 41.50389914])"
4192,Paralepis elongata,"Scolex pleuronectis Muller, 1788",Northeast Atlantic,Cestoda,1,"array([44.50430767, 41.81843665])"
4193,Paraliparis bathybius,"Bathycreadium flexicollis Kabata, 1961",Norwegian Sea,Trematoda,1,"array([43.58170635, 42.10002541])"
4194,Polyprion americanus,"Scolex pleuronectis Muller, 1788",Atlantic Ocean,Cestoda,1,"array([52.83672167, 46.19723531])"
4195,Rhodichthys regina,"Gonocerca phycidis Manter, 1925",Norwegian Sea,Trematoda,1,"array([36.99343016, 42.89746194])"
4196,Sardinella janeiro,"Scolex pleuronectis Muller, 1788",Southwest Atlantic,Cestoda,1,"array([50.19952034, 35.50619449])"
4197,Scomberesox saurus,"Tetrochetus scombresoxis Nicolaeva, 1966",Atlantic Ocean,Trematoda,1,"array([36.75697484, 48.08622382])"
4198,Synodus saurus,"Proctophantastes polymixia Yamaguti, 1970",NW African coast,Trematoda,1,"array([73.49984586, 53.19505553])"
4199,Chelidonichthys lucernus,"Derogenes ruber Luhe, 1900",NW African coast,Trematoda,1,"array([44.07724509, 33.22518516])"
4200,Zeus faber,"Stephanostomum cesticillum (Molin, 1858)",Southeast Atlantic,Trematoda,1,"array([46.3343072 , 38.13041631])"
4201,Scolex soleatus,,,Teleostei,0,"array([63.52852604, 32.12222716])"
4202,Mustelus mento,"Scyphophyllidium uruguayense Brooks, Marques, Perroni & Sidagis, 1999",Southwest Atlantic,Cestoda,1,"array([ 23.73836033, 108.00102813])"
4203,Scyphophyllidium uruguayense,,,Chondrichthyes,0,"array([ 21.46762747, 116.70824144])"
4204,Spathebothrium simplex,,,Teleostei,0,"array([26.32764846, 34.60557791])"
4205,Liparis coheni,"Spathebothrium simplex Linton, 1922",Atlantic Ocean,Cestoda,1,"array([11.25822238, 45.94067044])"
4206,Sphyriocephalus dollfusi,,,Teleostei,0,"array([41.98614413, 82.30563356])"
4207,Sphyriocephalus tergestinus,,,Teleostei,0,"array([36.56900876, 60.29150931])"
4208,Centroscymnus coelolepis,"Otodistomum plunketi Fyfe, 1953",Western coast of British Isles,Trematoda,1,"array([29.71446383, 79.1935519 ])"
4209,Sphyriocephalus viridis,,,Chondrichthyes,0,"array([40.56098425, 63.20555399])"
4210,Cephalorhynchus commersonii,"Pholeter gastrophilus (Kossack, 1910)",Southwest Atlantic,Trematoda,1,"array([35.36557589, 40.79049234])"
4211,Strobilocephalus triangularis,,,Mammalia,0,"array([34.14192844, 44.4876277 ])"
4212,Ardea caerulea,"Taenia aurita Rudolphi, 1819",Atlantic Ocean,Cestoda,1,"array([-452.46634633,   10.59223854])"
4213,Taenia aurita,,,NA,0,"array([-454.35229907,    8.49155528])"
4214,Tentacularia bicolor,,,NA,0,"array([39.70614018, 72.15007682])"
4215,Tentacularia coryphaenae,,,Cephalopoda,0,"array([45.71234559, 53.88919395])"
4216,Alepisaurus brevirostris,"Botulus microporus (Mont., 1889)",Atlantic Ocean,Trematoda,1,"array([46.3801321 , 71.24525487])"
4217,Alepisaurus ferox,"Botulus cablei Stunkard, 1965",Pacific Ocean,Trematoda,1,"array([49.43006566, 75.81955952])"
4218,Carcharhinus longimanus,"Paronatrema vaginicola Dollfus, 1937",Pacific Ocean,Trematoda,1,"array([47.13112093, 73.20709869])"
4219,Chauliodus sloani,"Scolex pleuronectis Muller, 1788",Pacific Ocean,Cestoda,1,"array([41.50930352, 52.58091368])"
4220,Dosidicus gigas,Monilicaecum metacercaria sp. 1 (IV),Pacific Ocean,Trematoda,1,"array([42.78958576, 50.0008903 ])"
4221,Thunnus atlanticus,"Hirudinella ventricosa (Pallas, 1774)",Atlantic Ocean,Trematoda,1,"array([43.82499011, 57.11793289])"
4222,Tetrabothriorhynchus migratorius,,,Teleostei,0,"array([66.96130339, 34.89676134])"
4223,Ichthyaetus audouinii,"Renicola lari Timon-David, 1933",Spain + Andalusia,Trematoda,1,"array([17.30232268,  6.89005509])"
4224,Tetrabothrius diplosoma,,,Mammalia,0,"array([34.18955315, 52.06391535])"
4225,Tetrabothrius filiformis,,,Aves,0,"array([ 4.39709698, 45.15771173])"
4226,Tetrabothrius forsteri,,,Mammalia,0,"array([36.22056933, 43.55522318])"
4227,Tetrabothrius laccocephalus,,,Aves,0,"array([ 5.28745677, 45.91317504])"
4228,Tetrabothrius longicolle,,,NA,0,"array([ 23.47639743, 104.46008254])"
4229,Tetrabothrius maculatum,,,NA,0,"array([  6.27473927, 131.77323927])"
4230,Spinax niger,"Tetrabothrius norvegicum Olsson, 1868",West Coast of Norway,Cestoda,1,"array([-66.20638657, 436.05881143])"
4231,Tetrabothrius norvegicum,,,NA,0,"array([-64.63876094, 434.83953361])"
4232,Tetrarhynchobothrium setiense,,,Chondrichthyes,0,"array([32.46740403, 76.76804919])"
4233,Tetrarhynchus discophorus,,,NA,0,"array([48.33555639, 94.97687206])"
4234,Sepia officinalis,"Derogenes varicus (Muller, 1784)",Antarctic Ocean,Trematoda,1,"array([33.42957803, 41.45380773])"
4235,Tetrarhynchus megabothrius,,,Cephalopoda,0,"array([23.76820094, 56.6131835 ])"
4236,Tetrarhynchus palliatus,,,Chondrichthyes,0,"array([48.59160798, 98.58152131])"
4237,Tetrarhynchus papillosus,,,Teleostei,0,"array([62.45248328, 74.91920563])"
4238,Tetrarhynchus scomberrocheri,,,Teleostei,0,"array([49.9891985 , 64.90502698])"
4239,Tetrarhynchus scomberthynnus,,,Teleostei,0,"array([36.20346726, 67.34753329])"
4240,Maena zebra,"Tetrarhynchus smaridum Pintner, 1893",Atlantic Ocean,Cestoda,1,"array([452.80031105,   9.52421067])"
4241,Tetrarhynchus smaridum,,,NA,0,"array([452.65152813,  12.36695475])"
4242,Trigonocotyle lintoni,,,Mammalia,0,"array([30.86865854, 45.86705597])"
4243,Trigonocotyle monticellii,,,Mammalia,0,"array([30.66037201, 51.18653428])"
4244,Trigonocotyle prudhoei,,,Mammalia,0,"array([29.85760511, 53.91319227])"
4245,Trigonocotyle sexitesticulae,,,Mammalia,0,"array([29.93000312, 63.8900454 ])"
4246,Trilocularia acanthiaevulgaris,,,Chondrichthyes,0,"array([33.28350961, 52.38657039])"
4247,Trilocularia gracilis,,,Chondrichthyes,0,"array([32.79962734, 53.67474748])"
4248,Tylocephalum bonasum,,,Chondrichthyes,0,"array([-10.30865112, 271.49308951])"
4249,Tylocephalum brooksi,,,Chondrichthyes,0,"array([ -7.02491946, 270.84870094])"
4250,Tylocephalum marsupium,,,Chondrichthyes,0,"array([ 68.71157974, 132.01424863])"
4251,Tylocephalum pingue,,,Chondrichthyes,0,"array([ -6.7539658 , 274.22923464])"
4252,Malacoraja senta,"Zyxibothrium kamienae Hayden & Campbell, 1981",Atlantic Ocean,Cestoda,1,"array([ -78.60401136, -566.28357418])"
4253,Zyxibothrium kamienae,,,Chondrichthyes,0,"array([ -79.43090129, -568.28921415])"
4254,Acanthotaenia gallardi,,,Reptilia,0,"array([ -41.86649005, -106.10244241])"
4255,Notechis scutatus,"Dolichoperoides macalpini (Nicoll, 1918)",Tasmania,Trematoda,1,"array([ -47.4212774 , -114.22340121])"
4256,Pseudechis australis,"Ophidascaris pyrrhus Johnston & Mawson, 1942",Western Australia,Nematoda,1,"array([ -47.81198597, -116.28301022])"
4257,Zosterops lateralis,"Anonchotaenia clelandi (Johnston, 1912)",New South Wales,Cestoda,1,"array([-400.99280894,  154.05373775])"
4258,Anonchotaenia clelandi,,,Aves,0,"array([-400.31701787,  151.78610241])"
4259,Equus caballus,"Fasciola hepatica Linnaeus, 1758",Southern S. America,Trematoda,1,"array([ 60.91775377, -73.48604558])"
4260,Anoplocephala perfoliata,,,NA,0,"array([ 55.9876671 , -66.24229674])"
4261,Anoplocephala plicata,,,Mammalia,0,"array([ 73.72381355, -85.50801265])"
4262,Anoplocephaloides mamillana,,,Mammalia,0,"array([ 69.78019709, -79.20045006])"
4263,Dasyurus maculatus,"Neodiplostomum intermedium Pearson, 1959",Queensland,Trematoda,1,"array([ 20.21227661, -76.91447628])"
4264,Anoplotaenia dasyuri,,,Mammalia,0,"array([ 24.17169917, -94.19596848])"
4265,Dasyurus viverrinus,"Pharyngostomoides dasyuri Dubois & Angel, 1972",Tasmania,Trematoda,1,"array([  7.67873845, -81.45868111])"
4266,Macropus rufogriseus,"Rugopharynx pi Beveridge & Chilton, 1999",Victoria,Nematoda,1,"array([ 33.51534873, -94.83169702])"
4267,Sarcophilus harrisii,"Neodiplostomum (Triloborchidiplostomum) diaboli Dubois & Angel, 1972",Tasmania,Trematoda,1,"array([  23.90499915, -109.37803371])"
4268,Thylogale billardierii,"Rugopharynx chi Beveridge & Chilton, 1999",Tasmania,Nematoda,1,"array([  32.57692539, -105.71500378])"
4269,Vombatus ursinus,"Fasciola hepatica Linnaeus, 1758",Australia,Trematoda,1,"array([ 45.7659557, -88.1005327])"
4270,Gallinago megala,"Allodiplostomum shiraishii Kifune & Takao, 1971",Japan,Trematoda,1,"array([-54.57953628,  24.49752031])"
4271,Aploparaksis australis,,,Aves,0,"array([-35.677682  ,  11.92034845])"
4272,Chelodina longicollis,"Sigmapera cincta Nicoll, 1918",Queensland,Trematoda,1,"array([-84.49163252, -92.83784549])"
4273,Austramphilina elongata,,,Reptilia,0,"array([-93.31792768, -98.52264315])"
4274,Tandanus tandanus,"Monodhelmis trichofurcata (Johnston & Angel, 1940)",South Australia,Trematoda,1,"array([ 9.77481444e+01, -4.90845292e-02])"
4275,Balanotaenia bancrofti,,,Teleostei,0,"array([104.94780828,   1.24216041])"
4276,Nycticorax caledonius,"Clinostomum hornum Nicoll, 1914",Queensland,Trematoda,1,"array([ 40.16750667, -16.16480898])"
4277,Bancroftiella ardeae,,,NA,0,"array([ 48.37197003, -19.64702546])"
4278,Bancroftiella tenuis,,,Mammalia,0,"array([  26.13859315, -104.75206299])"
4279,Bertiella anapolitica,,,NA,0,"array([ 18.19103523, -61.15783785])"
4280,Rattus lutreolus,"Athesmioides aiolos Cribb & Spratt, 1992",Tasmania,Trematoda,1,"array([ 16.89676904, -63.9031924 ])"
4281,Uromys caudimaculatus,"Ophidascaris robertsi Sprent & Mines, 1960",Queensland,Nematoda,1,"array([ 21.52519288, -72.16998631])"
4282,Bertiella baylisi,,,Mammalia,0,"array([ 23.26549795, -89.04742844])"
4283,Trichosurus caninus,"Paraustrostrongylus trichosuri Mawson, 1973",New South Wales,Nematoda,1,"array([  70.50438636, -114.154203  ])"
4284,Bertiella trichosuri,,,Mammalia,0,"array([  67.41230479, -107.22937323])"
4285,Petauroides volans,"Austroxyuris finlaysoni Johnston & Mawson, 1938",New South Wales,Nematoda,1,"array([  83.694027  , -131.39212186])"
4286,Beveridgia petaurina,,,Mammalia,0,"array([  89.58896494, -139.53162905])"
4287,Bothridium parvum,,,Reptilia,0,"array([ -42.4220317 , -110.67532508])"
4288,Hypseleotris klunzingeri,"Bothriocephalus acheilognathi Yamaguti, 1934",New South Wales,Cestoda,1,"array([39.88641311,  0.93987305])"
4289,Philypnodon grandiceps,"Bothriocephalus acheilognathi Yamaguti, 1934",Australia,Cestoda,1,"array([48.96858375,  4.92099566])"
4290,Phylipnodon grandiceps,"Bothriocephalus acheilognathi Yamaguti, 1934",Victoria,Cestoda,1,"array([39.89219439,  3.36618857])"
4291,Retropinna semoni,Stegodexamene callista,Australia,Trematoda,1,"array([45.05167439,  6.57573826])"
4292,Thylogale stigmatica,"Wallabinema thylogale Beveridge, 1983",Queensland,Nematoda,1,"array([ 27.72093972, -88.92287653])"
4293,Calostaurus macropus,,,Mammalia,0,"array([ 26.79636083, -95.54384705])"
4294,Thylogale thetis,"Wallabinema thylogale Beveridge, 1983",Queensland,Nematoda,1,"array([ 31.77756428, -98.9903538 ])"
4295,Choanotaenia ratticola,,,Mammalia,0,"array([ 15.4685315 , -76.00227492])"
4296,Cygnus atratus,"Dendritobilharzia pulverulenta (Braun, 1901)",New Zealand,Trematoda,1,"array([ -0.32426251, -17.40754265])"
4297,Lepus timidus,"Dicrocoelium orientalis Sudarikov & Ryjikov, 1951",Lake Baikal,Trematoda,1,"array([ 27.65708836, -65.80625412])"
4298,Coenurus serialis,,,Mammalia,0,"array([ 27.04121306, -72.04346105])"
4299,Oryctolagus cuniculus,"Fasciola hepatica Linnaeus, 1758",Western Europe,Trematoda,1,"array([ 27.85229941, -56.35862968])"
4300,Hemiergis peronii,"Pharyngodon kartana Johnston & Mawson, 1941",Western Australia,Nematoda,1,"array([ -54.99066139, -107.91775481])"
4301,Cylindrotaenia allisonae,,,NA,0,"array([ -62.11253616, -116.01757177])"
4302,Heteronotia binoei,"Cylindrotaenia allisonae Schmidt, 1980",Queensland,Cestoda,1,"array([ -67.5785888 , -121.53038837])"
4303,Lerista bougainvillii,"Maxvachonia chabaudi Mawson, 1972",South Australia,Nematoda,1,"array([ -62.63632503, -119.93000171])"
4304,Cylindrotaenia criniae,,,NA,0,"array([ -85.46461769, -108.90011019])"
4305,Ranidella tasmaniensis,"Cylindrotaenia minor (Hickman, 1960)",Tasmania,Cestoda,1,"array([ -82.27622724, -106.04576501])"
4306,Lampropholis delicata,"Cylindrotaenia hickmani (Jones, 1985)",Queensland,Cestoda,1,"array([ -56.01580105, -150.54692547])"
4307,Cylindrotaenia hickmani,,,NA,0,"array([ -52.35146955, -143.50296133])"
4308,Saproscincus challengeri,"Cylindrotaenia hickmani (Jones, 1985)",Queensland,Cestoda,1,"array([ -53.67628745, -148.86322641])"
4309,Saproscincus mustelina,"Cylindrotaenia hickmani (Jones, 1985)",New South Wales,Cestoda,1,"array([ -54.03768967, -151.2871795 ])"
4310,Assa darlingtoni,"Cylindrotaenia minor (Hickman, 1960)",Queensland,Cestoda,1,"array([ -79.60859915, -102.44004761])"
4311,Cylindrotaenia minor,,,NA,0,"array([-74.78565051, -99.14296785])"
4312,Geocrinea laevis,"Cylindrotaenia minor (Hickman, 1960)",Tasmania,Cestoda,1,"array([ -82.54380026, -103.08686198])"
4313,Philoria loveridgei,"Cylindrotaenia minor (Hickman, 1960)",Queensland,Cestoda,1,"array([ -81.45993178, -104.49869239])"
4314,Ranidella signifera,"Nematotaenia hylae Hickman, 1960",Tasmania,Cestoda,1,"array([-63.65354652, -87.53130173])"
4315,Cavia cutleri,"Cysticercus pisiformis Bloch, 1780",New South Wales,Cestoda,1,"array([ 25.50401844, -68.63900625])"
4316,Cysticercus pisiformis,,,Mammalia,0,"array([ 23.0946404 , -57.64067732])"
4317,Capra hircus,"Paramphistomum daubneyi Dinnik, 1962",Yugoslavia,Trematoda,1,"array([ 42.89555756, -60.98855605])"
4318,Cysticercus tenuicollis,,,Mammalia,0,"array([ 37.75422198, -62.94473891])"
4319,Diorchis flavescens,,,Aves,0,"array([  1.4473722 , -25.12704275])"
4320,Dipylidium caninum,,,Mammalia,0,"array([ 28.78703652, -39.52400968])"
4321,Dendrolagus lumholtzi,"Zoniolaimus dendrolagi Beveridge, 1983",Queensland,Nematoda,1,"array([ 43.28646989, -89.89136941])"
4322,Macropus dorsalis,"Zoniolaimus buccalis (Johnston &Mawson, 1939)",Queensland,Nematoda,1,"array([  34.09903063, -104.56618657])"
4323,Macropus eugenii,"Rugopharynx rho Beveridge & Chilton, 1999",Western Australia,Nematoda,1,"array([ 44.64750876, -99.07768635])"
4324,Macropus fuliginosus,"Rugopharynx rho Beveridge & Chilton, 1999",Western Australia,Nematoda,1,"array([ 41.86950163, -96.89092887])"
4325,Macropus giganteus,"Fasciola hepatica Linnaeus, 1758",Australia,Trematoda,1,"array([ 41.89370358, -99.94863775])"
4326,Macropus parryi,"Rugopharynx omega Beveridge, 1982",Victoria,Nematoda,1,"array([ 30.33294555, -96.71055594])"
4327,Macropus robustus,"Papillostrongylus barbatus Chilton, Huby-Chilton, Gasser & Beveridge, 2002",Western Australia,Nematoda,1,"array([  38.7496775 , -105.75047652])"
4328,Onychogalea fraenata,"Zoniolaimus buccalis (Johnston &Mawson, 1939)",Queensland,Nematoda,1,"array([ 37.80258715, -88.34558946])"
4329,Petrogale assimilis,"Woodwardostrongylus obendorfi Mawson, l976",Queensland,Nematoda,1,"array([ 33.19523278, -90.57975071])"
4330,Petrogale godmani,"Zoniolaimus petrogale Beveridge, l983",Queensland,Nematoda,1,"array([ 35.69721514, -90.72559624])"
